PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Hotel,DOWNTOWN,1.0,11,83008,0,27.0,5758795.0,False,Compliant,176.14,97,1.9374602971966932,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,6,63712,1496,1.0,4573777.0,False,Compliant,151.12,113,2.27745881062906,1,True,True,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,SOUTHEAST,1.0,2,56228,0,95.0,1539478.5,True,Error - Correct Default Data,38.53,62,10.089198023075197,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,NORTHEAST,1.0,6,88592,30586,84.0,3663534.5,False,Compliant,90.01,22,4.251564997591449,2,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Other,DOWNTOWN,1.0,2,67224,0,,1310236.625,False,Compliant,9.13,93,2.1446847827652236,1,True,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,Central,1.0,1,126351,0,,0.0,False,Missing Data,0.0,68,4.931021557417813,1,False,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,DOWNTOWN,1.0,5,68410,16200,57.0,4456714.5,False,Compliant,128.44,45,0.945306685702493,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2,51582,0,,0.0,False,Missing Data,10.43,34,0.7270678771585359,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,87262,0,,4145920.5,False,Compliant,157.77,117,3.286121504778382,4,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,NORTHEAST,1.0,4,81871,0,29.0,6668568.5,False,Compliant,215.0,29,6.176153514132874,1,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
